state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
AL,01005-FELLOWSHIP BAPTIST,339,842,1188,-0.4234,true
AL,01005-GREEN'S CROSSROADS,46,84,130,-0.2923,true
AL,01005-LOUISVILLE CITY HALL,221,251,476,-0.063,true
AL,01005-MCCOO SCHOOL,707,356,1072,0.3274,true
AL,01005-MT_ ANDREWS COMM_ CTR_,116,35,152,0.5329,true
AL,01005-SANFORD AVE_ GYM,441,471,924,-0.0325,true
AL,01005-SPRINGHILL VFD,172,150,326,0.0675,true
AL,01005-TEXASVILLE COMM_ CTR_,60,207,268,-0.5485,true
AL,01007-ALTERNATIVE SCHOOL,301,1555,1864,-0.6727,true
AL,01007-BRENT CITY HALL,453,348,809,0.1298,true
AL,01007-CENTREVILLE ROCK BLDG,187,941,1134,-0.6649,true
AL,01007-EOLINE FIRE DEPT_,68,669,743,-0.8089,true
AL,01007-GREENPOND FIRE DEPT_,161,1720,1900,-0.8205,true
AL,01007-LAWLEY COMM_ CTR_,54,424,482,-0.7676,true
AL,01007-NATIONAL GUARD,255,1129,1395,-0.6265,true
AL,01007-SIX MILE COMM_ CTR_,140,786,930,-0.6946,true
AL,01009-ALLGOOD TOWN HALL,68,481,553,-0.7468,true
AL,01009-BLOUNT SPRINGS,34,289,330,-0.7727,true
AL,01009-BLOUNTSVILLE,145,1439,1598,-0.8098,true
AL,01009-BROOKSVILLE,32,510,546,-0.8755,true
AL,01009-CLEVELAND,121,1180,1312,-0.8072,true
AL,01009-DALLAS-SELFVILLE,123,1351,1481,-0.8292,true
AL,01009-HAYDEN,260,2717,3008,-0.8168,true
AL,01009-HOLLY SPRINGS,46,386,436,-0.7798,true
AL,01009-LOCUST FORK,86,1516,1622,-0.8816,true
AL,01009-MT_ HIGH,179,2068,2259,-0.8362,true
AL,01009-MURPHREE VALLEY,56,679,742,-0.8396,true
AL,01009-NECTAR,79,1152,1239,-0.866,true
AL,01009-ONEONTA,500,2168,2695,-0.6189,true
AL,01009-PINE MOUNTAIN,32,527,565,-0.8761,true
AL,01009-REMLAP,120,1070,1206,-0.7877,true
AL,01009-ROCK SPRINGS,46,569,619,-0.8449,true
AL,01009-ROSA,83,850,941,-0.8151,true
AL,01009-ROYAL,52,399,458,-0.7576,true
AL,01009-SMOKE RISE,119,1220,1348,-0.8168,true
AL,01009-SNEAD,83,1214,1304,-0.8673,true
AL,01009-STRAIGHT MOUNTAIN,157,1710,1874,-0.8287,true
AL,01009-SUGAR CREEK BANGOR,40,546,590,-0.8576,true
AL,01009-SUMMIT,45,480,528,-0.8239,true
AL,01009-SUSAN MOORE,70,833,909,-0.8394,true
AL,01011-ALMERIA CLUB HOUSE,162,294,463,-0.2851,true
AL,01011-CORNERSTONE REC_ CTR_,223,73,296,0.5068,true
AL,01011-COUNTY CAREER TECH CTR_,951,188,1150,0.6635,true
AL,01011-FITZPATRICK VFD,79,180,262,-0.3855,true
AL,01011-OLD MERRITT SCHOOL,567,59,629,0.8076,true
AL,01011-PEROTE VOTING BLDG_,88,151,240,-0.2625,true
AL,01011-RICHARD B STONE COMPLEX,612,80,694,0.7666,true
AL,01011-WALTON CHAPEL METHODIST,301,76,377,0.5968,true
AL,01013-AMERICAN LEGION BLDG,644,637,1291,0.0054,true
AL,01013-BOLLING VTG HOUSE,33,104,138,-0.5145,true
AL,01013-CENTER HILL VTG HOUSE,62,70,132,-0.0606,true
AL,01013-CENTRAL VFD,184,274,460,-0.1957,true
AL,01013-CHAPMAN POST OFFICE,28,114,143,-0.6014,true
AL,01013-DUNBAR COMM_ CTR_,675,189,870,0.5586,true
AL,01013-FOREST HOME VTG HOUSE,47,208,256,-0.6289,true
AL,01013-FRIENDSHIP OLD SCH HOUSE,7,126,134,-0.8881,true
AL,01013-GARLAND VFD,42,140,182,-0.5385,true
AL,01013-HARRISON'S VTG HOUSE,29,337,368,-0.837,true
AL,01013-INDUSTRY OLD SCH HOUSE,7,142,149,-0.906,true
AL,01013-LBW CONFERENCE CTR_,444,676,1134,-0.2046,true
AL,01013-MANNINGHAM VTG HOUSE,96,68,166,0.1687,true
AL,01013-MCKENZIE CITY HALL,115,396,516,-0.5446,true
AL,01013-MIDWAY & DAMASCUS VFD,61,206,268,-0.541,true
AL,01013-NEW MCLAINS VTG HOUSE,68,323,392,-0.6505,true
AL,01013-PROVIDENCE VTG HOUSE,96,319,419,-0.5322,true
AL,01013-ROCKY CREEK VTG HOUSE,37,253,292,-0.7397,true
AL,01013-SEARCY VFD,71,142,214,-0.3318,true
AL,01013-SR_ MULTIPURPOSE CTR_,486,301,790,0.2342,true
AL,01013-STEINER'S STORE,19,147,166,-0.7711,true
AL,01015-ALEXANDRIA CIVITAN CLUB,299,2122,2442,-0.7465,true
AL,01015-ANGEL FIRE STATION,99,618,723,-0.7178,true
AL,01015-ANNISTON CARVER CTR,211,8,224,0.9063,true
AL,01015-ANNISTON GOLDEN SPRINGS,967,1951,2975,-0.3308,true
AL,01015-ANNISTON MEETING CTR,1797,853,2696,0.3501,true
AL,01015-ANNISTON THANKFUL BAPT,267,47,318,0.6918,true
AL,01015-ASBERRY BAPT,69,763,838,-0.8282,true
AL,01015-A_P_ HOLLINGSWORTH COMM,104,1117,1225,-0.8269,true
AL,01015-BETTA VIEW CH OF CHRIST,358,1180,1554,-0.529,true
AL,01015-BOILING SPRINGS BAPT,54,557,613,-0.8206,true
AL,01015-BYNUM COMM CTR,378,1613,2006,-0.6157,true
